txtFornecedor,vlrLiquido
MARKA GRAFICA E COPIADORA LTDA,15000.0
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,1239.09
CELULAR FUNCIONAL,247.4
RAMAL,120.01
CORREIOS - ENCOMENDA PAC,273.11
CORREIOS - SEDEX CONVENCIONAL,60.72
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,3000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,7000.0
Cia Aérea - AZUL,606.17
Cia Aérea - AZUL,640.56
Cia Aérea - AZUL,667.17
Cia Aérea - GOL,1169.29
CONSULTORES CIVITAS LTDA - ME,30000.0
MARKA GRAFICA E COPIADORA LTDA,35000.0
MARKA GRAFICA E COPIADORA LTDA,20000.0
MARKA GRAFICA E COPIADORA LTDA,17000.0
TIPO AGENCIA DE PUBLICIDADE LTDA,15000.0
TIPO AGENCIA DE PUBLICIDADE LTDA ME,10000.0
TIPO AGENCIA DE PUBLICIDADE LTDA ME,15000.0
TIPO AGENCIA DE PUBLICIDADE LTDA ME,15000.0
CELULAR FUNCIONAL,1076.45
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,7.15
CELULAR FUNCIONAL,69.1
CELULAR FUNCIONAL,846.85
CELULAR FUNCIONAL,152.57
CELULAR FUNCIONAL,1231.63
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,0.05
CELULAR FUNCIONAL,38.83
CELULAR FUNCIONAL,945.71
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,20.48
CELULAR FUNCIONAL,1073.32
CELULAR FUNCIONAL,1176.96
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,31.15
CELULAR FUNCIONAL,59.99
CELULAR FUNCIONAL,996.46
CELULAR FUNCIONAL,61.31
RAMAL,111.53
RAMAL,108.17
RAMAL,94.18
RAMAL,70.57
RAMAL,35.07
RAMAL,23.85
RAMAL,14.44
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,4.9
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,6.2
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,9.8
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,4.9
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,4.2
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,4.9
CORREIOS - CAIXA DE ENCOMENDAS BÁSICA/CONVENCIONAL,57.8
CORREIOS - ENCOMENDA PAC,361.44
CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,4.3
CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,4.3
CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,43.0
CORREIOS - ENVELOPE BÁSICO/CONVENCIONAL - PLÁSTICO/BOLHA,4.5
CORREIOS - SEDEX CONVENCIONAL,35.46
CORREIOS - SEDEX CONVENCIONAL,35.46
CORREIOS - SEDEX CONVENCIONAL,51.26
CORREIOS - SEDEX CONVENCIONAL,415.77
CORREIOS - SEDEX CONVENCIONAL,70.92
CORREIOS - SEDEX CONVENCIONAL,54.23
CORREIOS - SEDEX CONVENCIONAL,51.26
CORREIOS - SEDEX CONVENCIONAL,93.33
CORREIOS - SEDEX CONVENCIONAL,38.43
CORREIOS - SEDEX CONVENCIONAL,35.46
CORREIOS - SEDEX CONVENCIONAL,277.65
CORREIOS - SEDEX CONVENCIONAL,99.57
CORREIOS - SEDEX CONVENCIONAL,446.71
CORREIOS - SEDEX CONVENCIONAL,36.94
CORREIOS - SEDEX CONVENCIONAL,415.77
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,2892.86
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,6750.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,3000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,7000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,3000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,7000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,7000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,3000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,7000.0
MODERNA PRODUTOS IMPORTADOS E NACIONAIS LTDA,4000.0
AZUL,827.17
GOL,29.0
Cia Aérea - AVIANCA,248.49
Cia Aérea - AVIANCA,251.95
Cia Aérea - AVIANCA,248.49
Cia Aérea - AVIANCA,251.95
Cia Aérea - AZUL,281.57
Cia Aérea - AZUL,281.57
Cia Aérea - AZUL,424.85
Cia Aérea - AZUL,292.85
Cia Aérea - AZUL,729.57
Cia Aérea - AZUL,412.57
Cia Aérea - AZUL,784.57
Cia Aérea - AZUL,456.85
Cia Aérea - AZUL,652.72
Cia Aérea - AZUL,414.57
Cia Aérea - AZUL,350.0
Cia Aérea - AZUL,1837.85
Cia Aérea - AZUL,1113.42
Cia Aérea - AZUL,1113.42
Cia Aérea - AZUL,262.57
Cia Aérea - AZUL,510.57
Cia Aérea - AZUL,424.85
Cia Aérea - AZUL,872.85
Cia Aérea - AZUL,517.85
Cia Aérea - AZUL,556.85
Cia Aérea - AZUL,350.0
Cia Aérea - AZUL,262.57
Cia Aérea - AZUL,526.57
Cia Aérea - AZUL,761.57
Cia Aérea - AZUL,972.85
Cia Aérea - AZUL,828.39
Cia Aérea - AZUL,272.85
Cia Aérea - AZUL,350.0
Cia Aérea - AZUL,350.0
Cia Aérea - AZUL,1307.85
Cia Aérea - AZUL,413.57
Cia Aérea - AZUL,350.0
Cia Aérea - AZUL,1209.39
Cia Aérea - AZUL,592.39
Cia Aérea - AZUL,815.39
Cia Aérea - AZUL,424.85
Cia Aérea - AZUL,350.0
Cia Aérea - AZUL,262.57
Cia Aérea - AZUL,177.39
Cia Aérea - AZUL,325.0
Cia Aérea - AZUL,1740.57
Cia Aérea - AZUL,1157.39
Cia Aérea - AZUL,262.57
Cia Aérea - AZUL,740.85
Cia Aérea - AZUL,291.85
Cia Aérea - GOL,197.95
Cia Aérea - GOL,59.39
Cia Aérea - GOL,35.0
Cia Aérea - GOL,686.29
Cia Aérea - GOL,988.85
Cia Aérea - GOL,1159.75
Cia Aérea - GOL,1451.07
Cia Aérea - GOL,1336.24
Cia Aérea - GOL,728.85
Cia Aérea - GOL,880.85
Cia Aérea - GOL,849.85
Cia Aérea - GOL,1042.85
Cia Aérea - GOL,739.39
Cia Aérea - GOL,790.85
Cia Aérea - GOL,918.85
Cia Aérea - GOL,1081.85
Cia Aérea - GOL,1722.85
Cia Aérea - GOL,1136.85
Cia Aérea - GOL,849.85
Cia Aérea - GOL,1113.85
Cia Aérea - GOL,1081.85
Cia Aérea - GOL,1722.85
Cia Aérea - GOL,1127.85
Cia Aérea - GOL,1386.57
Cia Aérea - GOL,2.28
Cia Aérea - GOL,36.0
Cia Aérea - GOL,1081.85
Cia Aérea - TAM,1362.85
Cia Aérea - TAM,945.39
Cartuchos e Cia,320.0
America Auto Posto Ltda F01,140.0
Auto Posto Bacaba Ltda Epp,86.02
AUTO POSTO CINCO ESTRELAS LTDA,100.0
AUTO POSTO SAO CHARBEL LTDA,150.0
AUTO POSTO SAO CHARBEL LTDA,205.02
BOM CLIMA COM DE COMB E LUBRIF LTDA,2500.0
BOM CLIMA COM DE COMB E LUBRIF LTDA,100.0
BOM CLIMA COMERCIO DE COMBUSTIVEIS LTDA,474.45
C. CARVALHO SILVA E CIA LTDA,50.01
