sgPartido,Qtde_parlamentares,cota_mensal,cota_disponibilizada_periodo,vlrLiquido,Percentual Utilizado (%)
SOLIDARIEDADE,1,39428.03,1222268.93,977604.64,79.98277760361626
PODE,1,39428.03,1222268.93,840874.93,68.79622882993517
PTB,1,39428.03,1222268.93,811826.57,66.4196356525237
MDB,3,118284.09,3666806.79,1987041.9,54.18998092342902
PP,2,78856.06,2444537.86,966352.23,39.53108052906163
PT,2,78856.06,2444537.86,864569.89,35.367416645369524
PSL,2,78856.06,2444537.86,845641.38,34.593098099941066
PSDB,1,39428.03,1222268.93,35497.06,2.904193924000015
PRB,1,39428.03,1222268.93,28935.71,2.3673767114410738
DEM,1,39428.03,1222268.93,12594.31,1.0304041680908962
